,feature_source,parameters,Full,KTH_brown_bread,KTH_corduroy,KTH_aluminium_foil,KTH_linen,KTH_wool,KTH_orange_peel,KTH_sponge,KTH_cracker,KTH_cork,KTH_cotton,KTH_styrofoam
0,gabor,"n_angles:1_n_sigmas:3_frequencies:[0.05, 0.25, 0.5, 0.75]",0.840625,0.5853658536585366,0.77734375,0.9027777777777778,0.8910505836575876,0.8009259259259259,0.84,0.5609756097560976,0.6176470588235294,0.9166666666666666,0.9066147859922179,0.7073170731707317
0,lbp,P:4_R:64_method:uniform_n_bins:140,0.54,0.04878048780487805,0.76171875,0.48148148148148145,0.5953307392996109,0.2777777777777778,0.12,0.14634146341463414,0.058823529411764705,0.7962962962962963,0.622568093385214,0.17073170731707318
0,lbp,P:4_R:64_method:uniform_n_bins:150,0.52875,0.04878048780487805,0.76171875,0.46296296296296297,0.556420233463035,0.27314814814814814,0.16,0.12195121951219512,0.14705882352941177,0.7685185185185185,0.6264591439688716,0.14634146341463414
0,lbp,P:4_R:64_method:uniform_n_bins:160,0.538125,0.04878048780487805,0.76953125,0.46296296296296297,0.5914396887159533,0.25925925925925924,0.12,0.0975609756097561,0.08823529411764706,0.7870370370370371,0.6498054474708171,0.17073170731707318
0,lbp,P:4_R:64_method:uniform_n_bins:170,0.536875,0.07317073170731707,0.75390625,0.5046296296296297,0.5758754863813229,0.2824074074074074,0.24,0.12195121951219512,0.029411764705882353,0.7592592592592593,0.6303501945525292,0.17073170731707318
0,lbp,P:4_R:64_method:uniform_n_bins:180,0.545625,0.04878048780487805,0.765625,0.4722222222222222,0.5758754863813229,0.2916666666666667,0.12,0.12195121951219512,0.11764705882352941,0.7916666666666666,0.669260700389105,0.17073170731707318
0,lbp,P:4_R:64_method:uniform_n_bins:190,0.538125,0.0,0.7734375,0.4583333333333333,0.5953307392996109,0.27314814814814814,0.16,0.07317073170731707,0.08823529411764706,0.7777777777777778,0.6381322957198443,0.24390243902439024
0,lbp,P:4_R:64_method:uniform_n_bins:200,0.540625,0.04878048780487805,0.765625,0.46296296296296297,0.5836575875486382,0.24537037037037038,0.16,0.12195121951219512,0.11764705882352941,0.8148148148148148,0.6459143968871596,0.21951219512195122
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138]",0.78875,0.7317073170731707,0.7421875,0.8657407407407407,0.867704280155642,0.8194444444444444,0.76,0.6829268292682927,0.5294117647058824,0.8055555555555556,0.7392996108949417,0.6341463414634146
0,lbp,P:4_R:128_method:uniform_n_bins:10,0.490625,0.14634146341463414,0.59375,0.5462962962962963,0.5758754863813229,0.22685185185185186,0.16,0.07317073170731707,0.029411764705882353,0.7129629629629629,0.5719844357976653,0.07317073170731707
